"Emp ID","Name Prefix","First Name","Middle Initial","Last Name","Gender","E Mail","Father's Name","Mother's Name","Mother's Maiden Name","Date of Birth","Time of Birth","Age in Yrs.","Weight in Kgs.","Date of Joining","Quarter of Joining","Half of Joining","Year of Joining","Month of Joining","Month Name of Joining","Short Month","Day of Joining","DOW of Joining","Short DOW","Age in Company (Years)","Salary","Last % Hike","SSN","Phone No.","Place Name","County","City","State","Zip","Region","User Name","Password"
"178566","Mrs.","Juliette","M","Rojo","F","juliette.rojo@yahoo.co.uk","Williams Rojo","Rufina Rojo","Stearns","5/8/1967","06:03:23 PM","50.26","55","6/4/2011","Q2","H1","2011","6","June","Jun","4","Saturday","Sat","6.15","193912","27%","671-48-9915","215-254-9594","Glenside","Montgomery","Glenside","PA","19038","Northeast","jmrojo","L8dG9In5y58"
"847634","Mr.","Elmer","R","Jason","M","elmer.jason@yahoo.com","Marshall Jason","Paulene Jason","Atherton","4/9/1996","12:55:59 AM","21.32","78","5/28/2017","Q2","H1","2017","5","May","May","28","Sunday","Sun","0.17","93504","26%","063-02-5994","236-751-5963","Mendota","Washington","Mendota","VA","24270","South","erjason","eiHcRh@btnmQ"
"260736","Ms.","Zelda","P","Forest","F","zelda.forest@ibm.com","Chester Forest","Marti Forest","Bedell","11/27/1959","08:49:14 PM","57.71","57","1/28/2014","Q1","H1","2014","1","January","Jan","28","Tuesday","Tue","3.5","176642","29%","421-67-5501","212-268-4076","Schenectady","Schenectady","Schenectady","NY","12306","Northeast","zpforest","JR>O-}u]hWM"
"811306","Mr.","Rhett","P","Wan","M","rhett.wan@hotmail.com","Johnny Wan","Keva Wan","Gehring","7/14/1976","12:06:19 AM","41.07","71","1/21/2009","Q1","H1","2009","1","January","Jan","21","Wednesday","Wed","8.52","59406","25%","608-87-8674","209-984-3789","Selma","Fresno","Selma","CA","93662","West","rpwan","X|4}dm%g~Z&A4q"
"784160","Dr.","Corey","A","Jackman","M","corey.jackman@gmail.com","Kris Jackman","Molly Jackman","Feller","4/12/1959","12:27:16 PM","58.33","80","6/29/1984","Q2","H1","1984","6","June","Jun","29","Friday","Fri","33.1","57616","21%","651-62-1513","212-389-8573","Jamaica","Jamaica","Jamaica","NY","11480","Northeast","cajackman","ca:y2tLb"
"207808","Ms.","Renetta","T","Hafner","F","renetta.hafner@aol.com","Phil Hafner","Mora Hafner","Eberhardt","1/29/1975","11:50:51 AM","42.52","50","8/22/1998","Q3","H2","1998","8","August","Aug","22","Saturday","Sat","18.95","180289","14%","539-71-9884","239-664-4998","Fort Lauderdale","Broward","Fort Lauderdale","FL","33335","South","rthafner","xm2OaKOsyzegc"
"338634","Ms.","Paz","T","Pearman","F","paz.pearman@gmail.com","Sean Pearman","Mikaela Pearman","Boehm","2/28/1960","08:35:18 PM","57.45","46","5/25/1982","Q2","H1","1982","5","May","May","25","Tuesday","Tue","35.2","144804","25%","665-22-7253","319-435-3438","Garnavillo","Clayton","Garnavillo","IA","52049","Midwest","ptpearman","N-ap5/@F*<"
"953724","Mrs.","Nanci","D","Osorio","F","nanci.osorio@hotmail.com","Renaldo Osorio","Xochitl Osorio","Nash","7/9/1982","12:02:26 PM","35.08","44","11/7/2003","Q4","H2","2003","11","November","Nov","7","Friday","Fri","13.73","71321","26%","571-99-4191","603-298-3198","Lincoln","Grafton","Lincoln","NH","3251","Northeast","ndosorio","8%f:FPOls+"
"138700","Ms.","Maricela","H","Simard","F","maricela.simard@gmail.com","Dwayne Simard","Michele Simard","Breault","7/21/1988","07:06:17 PM","29.04","49","9/25/2016","Q3","H2","2016","9","September","Sep","25","Sunday","Sun","0.84","88513","20%","157-23-8970","252-383-7726","Ingold","Sampson","Ingold","NC","28446","South","mhsimard","4Xd%-TYkd4."
"807262","Mr.","Stefan","O","Maeda","M","stefan.maeda@yahoo.com","Blair Maeda","Stephany Maeda","Brittingham","3/23/1990","09:14:56 AM","27.37","57","11/5/2011","Q4","H2","2011","11","November","Nov","5","Saturday","Sat","5.73","67028","25%","312-35-8549","225-889-6869","Slidell","St. Tammany","Slidell","LA","70461","South","somaeda","H;dUOC/_q:5CZ}E"
"368234","Drs.","Gillian","T","Winter","F","gillian.winter@gmail.com","Arlie Winter","Bernarda Winter","Alton","1/17/1960","02:25:49 PM","57.57","48","11/28/1984","Q4","H2","1984","11","November","Nov","28","Wednesday","Wed","32.68","103619","10%","486-29-0402","505-325-2023","Alamogordo","Otero","Alamogordo","NM","88310","West","gtwinter","E6NT?KLs"
"807442","Hon.","Ed","E","Ferrari","M","ed.ferrari@gmail.com","Sung Ferrari","Alverta Ferrari","Norvell","9/27/1981","07:31:47 AM","35.86","51","2/15/2015","Q1","H1","2015","2","February","Feb","15","Sunday","Sun","2.45","145831","1%","493-29-4894","210-319-0049","Gardendale","Ector","Gardendale","TX","79758","South","eeferrari","b.b|PeM0"
"956778","Ms.","Jewell","L","Thies","F","jewell.thies@aol.com","Tyrell Thies","Joette Thies","Barrow","2/16/1991","11:29:52 AM","26.46","51","4/28/2017","Q2","H1","2017","4","April","Apr","28","Friday","Fri","0.25","153248","25%","112-98-0744","405-727-5191","Oklahoma City","Oklahoma City","Oklahoma City","OK","73100","South","jlthies","5~F^ZfXs"
"914698","Ms.","Janeen","M","Norman","F","janeen.norman@gmail.com","Forrest Norman","Krishna Norman","Chick","1/28/1989","06:35:10 PM","28.52","53","1/5/2012","Q1","H1","2012","1","January","Jan","5","Thursday","Thu","5.56","117383","17%","669-48-8772","803-953-3848","Columbia","Richland","Columbia","SC","29224","South","jmnorman","PPX%}E5U5Ql&C9f"
