"Emp ID","Name Prefix","First Name","Middle Initial","Last Name","Gender","E Mail","Father's Name","Mother's Name","Mother's Maiden Name","Date of Birth","Time of Birth","Age in Yrs.","Weight in Kgs.","Date of Joining","Quarter of Joining","Half of Joining","Year of Joining","Month of Joining","Month Name of Joining","Short Month","Day of Joining","DOW of Joining","Short DOW","Age in Company (Years)","Salary","Last % Hike","SSN","Phone No.","Place Name","County","City","State","Zip","Region","User Name","Password"
"198429","Mrs.","Serafina","I","Bumgarner","F","serafina.bumgarner@exxonmobil.com","Vaughn Bumgarner","Sharell Bumgarner","Floyd","9/21/1982","01:53:14 AM","34.87","45","2/1/2008","Q1","H1","2008","2","February","Feb","1","Friday","Fri","9.49","69294","14%","063-02-3609","212-376-9125","Clymer","Chautauqua","Clymer","NY","14724","Northeast","sibumgarner","vLzv}J-mM^ub"
"647173","Mr.","Milan","F","Krawczyk","M","milan.krawczyk@hotmail.com","Tommie Krawczyk","Billi Krawczyk","Soriano","4/4/1980","07:07:22 AM","37.34","68","1/19/2012","Q1","H1","2012","1","January","Jan","19","Thursday","Thu","5.53","123681","11%","527-99-6328","240-748-4111","Gibson Island","Anne Arundel","Gibson Island","MD","21056","South","mfkrawczyk","f!Cv42mMK"
"956633","Mr.","Hal","H","Farrow","M","hal.farrow@cox.net","Monty Farrow","Bernardina Farrow","Stewart","3/15/1967","02:45:15 AM","50.41","87","2/25/1991","Q1","H1","1991","2","February","Feb","25","Monday","Mon","26.44","164580","21%","661-22-0722","209-550-0139","Modesto","Stanislaus","Modesto","CA","95353","West","hhfarrow","Anx#>F?{]m.F"
"629539","Dr.","Del","I","Fernandez","M","del.fernandez@hotmail.com","Freeman Fernandez","Elisha Fernandez","Farias","8/13/1991","09:37:47 PM","25.98","60","4/7/2016","Q2","H1","2016","4","April","Apr","7","Thursday","Thu","1.31","138662","25%","510-33-5541","216-900-3642","Kent","Portage","Kent","OH","44243","Midwest","difernandez","z*k8JKZGznKe"
"744723","Hon.","Bibi","H","Paddock","F","bibi.paddock@yahoo.co.in","Gilberto Paddock","Celia Paddock","Smtih","10/20/1991","10:09:34 PM","25.79","52","11/2/2016","Q4","H2","2016","11","November","Nov","2","Wednesday","Wed","0.73","87148","0%","311-35-3566","423-355-3751","Rickman","Overton","Rickman","TN","38580","South","bhpaddock","vC~mwkem"
"423093","Mr.","Eric","O","Manning","M","eric.manning@yahoo.com","Chas Manning","Shirleen Manning","Batson","11/2/1980","08:48:01 PM","36.76","64","10/28/2002","Q4","H2","2002","10","October","Oct","28","Monday","Mon","14.76","149363","4%","647-21-1863","319-913-5811","Clermont","Fayette","Clermont","IA","52135","Midwest","eomanning","oHAn%9aDXG\_@k%"
"324573","Hon.","Ardath","Q","Forman","F","ardath.forman@gmail.com","Glenn Forman","Consuela Forman","Jobe","11/12/1982","04:54:17 AM","34.73","56","10/16/2009","Q4","H2","2009","10","October","Oct","16","Friday","Fri","7.79","189373","17%","449-99-5082","229-447-5924","Athens","Clarke","Athens","GA","30602","South","aqforman","zj5f~@4rH!5.aY"
"644265","Ms.","Avelina","I","Stoner","F","avelina.stoner@exxonmobil.com","Conrad Stoner","Tai Stoner","Laroche","10/1/1988","12:15:44 PM","28.84","42","11/30/2010","Q4","H2","2010","11","November","Nov","30","Tuesday","Tue","6.66","157826","20%","532-71-2239","215-329-1990","Salina","Westmoreland","Salina","PA","15680","Northeast","aistoner","0ZpMuaLKG"
"223871","Drs.","Christene","O","Mattison","F","christene.mattison@gmail.com","Elroy Mattison","Brittaney Mattison","Rayner","9/14/1990","09:43:32 AM","26.89","46","9/13/2015","Q3","H2","2015","9","September","Sep","13","Sunday","Sun","1.87","177224","6%","169-86-8872","314-561-9256","Alba","Jasper","Alba","MO","64830","Midwest","comattison","A9.^B4Vk@{N]H"
"496781","Dr.","Jonathan","Z","Rosa","M","jonathan.rosa@gmail.com","Carter Rosa","Ursula Rosa","Cranford","2/19/1981","05:51:15 AM","36.46","61","7/23/2010","Q3","H2","2010","7","July","Jul","23","Friday","Fri","7.02","198838","21%","276-17-7191","236-696-3896","Falls Church","Fairfax","Falls Church","VA","22047","South","jzrosa","3l6LIQw}"
"301629","Mr.","Ruben","L","Weissman","M","ruben.weissman@gmail.com","Lamont Weissman","Lawanna Weissman","Henke","12/28/1995","11:07:05 PM","21.6","84","1/3/2017","Q1","H1","2017","1","January","Jan","3","Tuesday","Tue","0.56","48543","22%","729-28-4437","201-979-0583","Elmwood Park","Bergen","Elmwood Park","NJ","7407","Northeast","rlweissman","Y9RrTqSa"
"668065","Mrs.","Deja","H","Niemeyer","F","deja.niemeyer@gmail.com","Josiah Niemeyer","Emelia Niemeyer","Braddy","9/4/1961","04:37:10 AM","55.93","41","6/5/2012","Q2","H1","2012","6","June","Jun","5","Tuesday","Tue","5.15","130000","9%","191-86-7546","210-777-5935","Evadale","Jasper","Evadale","TX","77615","South","dhniemeyer","l9uaXK7jjR4^aE"
"836931","Ms.","Selene","S","Ford","F","selene.ford@aol.com","Jarrett Ford","Andre Ford","Bow","3/23/1992","12:38:12 AM","25.36","42","10/7/2013","Q4","H2","2013","10","October","Oct","7","Monday","Mon","3.81","143902","6%","127-98-1656","203-799-7675","Hartford","Hartford","Hartford","CT","6101","Northeast","ssford","p:CZy8t*JVo4_"
"613551","Mr.","Jay","Y","Shields","M","jay.shields@gmail.com","Angelo Shields","Treasa Shields","Darnell","3/11/1981","10:08:11 AM","36.41","70","8/26/2013","Q3","H2","2013","8","August","Aug","26","Monday","Mon","3.92","167893","15%","299-15-4635","303-815-3774","Denver","Jefferson","Denver","CO","80215","West","jyshields","h!Fjcq1UJCZ5"
"147663","Mr.","Douglass","E","Corrigan","M","douglass.corrigan@rediffmail.com","Antione Corrigan","Corrinne Corrigan","Sigman","3/17/1973","12:29:13 AM","44.39","60","2/19/2015","Q1","H1","2015","2","February","Feb","19","Thursday","Thu","2.44","86718","22%","498-29-1692","217-809-6973","Saint Charles","Kane","Saint Charles","IL","60174","Midwest","decorrigan","PubKJS|Q"
"596529","Ms.","Lana","N","Arbuckle","F","lana.arbuckle@shaw.ca","Dillon Arbuckle","Matha Arbuckle","Kieffer","10/22/1967","12:59:41 AM","49.8","47","11/11/1996","Q4","H2","1996","11","November","Nov","11","Monday","Mon","20.72","193628","10%","226-99-7414","405-584-3309","Oklahoma City","Oklahoma","Oklahoma City","OK","73119","South","lnarbuckle","Cn~r|\&+{4"
"834635","Hon.","Deloise","T","Oyler","F","deloise.oyler@yahoo.com","Frederic Oyler","Glendora Oyler","Trotman","9/4/1963","09:46:27 AM","53.93","40","1/6/2015","Q1","H1","2015","1","January","Jan","6","Tuesday","Tue","2.56","173977","14%","563-99-9596","216-204-6295","Newbury","Geauga","Newbury","OH","44065","Midwest","dtoyler","4kqW4|2Vd.UX}D"
"444753","Ms.","Judith","G","Owen","F","judith.owen@gmail.com","Mauricio Owen","Margrett Owen","Bonin","2/14/1958","10:47:50 PM","59.49","47","5/17/1982","Q2","H1","1982","5","May","May","17","Monday","Mon","35.22","76503","13%","244-99-8820","207-252-4459","Biddeford","York","Biddeford","ME","4007","Northeast","jgowen","R@9p}adL"
