First,Last,Phone_h,Phone_m,Phone_w,Address,City,State,Zip
Christy,Manchester,(719) 090-8967,(889) 572-6666,(111) 469-3053,123 Anywhere Street,Los Angeles,CA,90001
Vonda,Alford,(052) 873-0753,(124) 880-9345,(483) 894-8864,777 West Filmore,Los Angeles,CA,90002
Wilton,Eder,(081) 812-9212,(519) 781-7349,(495) 641-8733,48920 San Carlos,Santa Fe,CA,90003
Milan,Montelongo,(332) 056-7564,(103) 497-3086,(873) 279-0758,123 Anywhere Street,Los Angeles,CA,90005
Sofia,Warfield,(423) 165-7500,(459) 671-1175,(288) 418-0508,1715 Scott Dr,San Francisco,CA,90006
Brendon,Bourque,(074) 130-5661,(824) 166-9685,(609) 734-4206,111 Silicon Valley Road,Denver,CA,90007
Stefan,Severin,(582) 300-4042,(268) 145-0601,(962) 144-6362,9 IBM Path,San Francisco,CA,90011
Catalina,Moretti,(056) 715-0989,(225) 727-1032,(224) 982-7315,9 IBM Path,San Mateo,CA,90012
Freida,Pattison,(572) 163-9985,(090) 105-2414,(610) 131-5970,1715 Scott Dr,San Jose,CA,90013
Jewell,Landrum,(276) 268-2375,(398) 140-0114,(553) 607-3891,48920 San Carlos,Salt Lake City,CA,90014
Felton,Slavens,(376) 475-0104,(470) 079-4418,(634) 142-6788,999 Baker Way,Persistance,CA,90015
Berta,Reeves,(953) 879-6325,(393) 686-8574,(108) 496-6665,777 West Filmore,San Jose,CA,90017
Edwina,Henning,(516) 391-3078,(064) 446-2729,(466) 215-3780,48920 San Carlos,Denver,CA,90018
Jake,Kraus,(628) 971-4290,(157) 082-0244,(138) 510-5317,9 IBM Path,Alabama,CA,90020-0001
Bradford,Roane,(495) 226-4886,(759) 292-0210,(034) 098-5411,321 University Ave.,Cupertino,CA,90021
Tom,Benham,(444) 806-4186,(500) 335-0436,(510) 375-8267,123 Anywhere Street,Cupertino,CA,90028
Greta,Rusk,(794) 881-1242,(655) 574-6601,(352) 813-9352,999 Baker Way,St. Petersburg,CA,90029
Colby,Grigg,(400) 495-0489,(798) 271-7150,(975) 168-8475,321 University Ave.,San Mateo,CA,90031
Jeannette,Stoddard,(224) 250-9019,(185) 012-9878,(265) 428-3808,321 University Ave.,San Jose,CA,90033
Keneth,Giffin,(810) 369-6189,(769) 213-3383,(135) 929-5719,1715 Scott Dr,Salt Lake City,CA,90037
Timothy,Dowdy,(226) 224-4748,(254) 316-5089,(642) 308-3576,1715 Scott Dr,Ohio,CA,90038
Guy,Fluker,(608) 178-1109,(448) 520-3372,(348) 517-9282,345 Sugar Blvd.,San Francisco,CA,90044
Ursula,Presnell,(932) 992-3389,(124) 765-8379,(204) 067-4218,111 Silicon Valley Road,Santa Fe,CA,90055
